S#,SKU,Full Name,Requested Quantity New,Total Revenue Net ,Total Revenue Gross SAR,JDA 122 Price 13/07/2023
69,10179651,Kraft Processed Cheddar Cheese 8*50g,46.00,978.60,978.60  SAR,34.95
29,10185125,L'usine Sandwich Rolls White 4pc,150.00,298.00,,2
33,10197115,Sadia Tender Chicken Breast 2kg,30.00,"1,355.50","1,355.50  SAR",51.95
90,10210732,Almarai Unsalted Natural Butter 3*100g,56.00,832.15,832.15  SAR,21.95
63,10224525,Almarai Full Fat Fresh Milk 2.85L,71.00,"1,015.00","1,015.00  SAR",14.25
12,10226950,Berain Drinking Water 48*200ml,99.00,"1,906.05","1,906.05  SAR",22.95
65,10230580,Almarai Chocolate Milk 18*150ml,39.00,987.35,987.35  SAR,26.95
69,10246951,Facial Tissue 10 packs,573.00,"7,343.85",,25
99,10251045,L'usine Plain Burger Buns 6pc,69.00,251.00,,4
77,10253355,Nutella Hazelnut Spread with Cocoa 825g,30.00,934.50,934.50  SAR,39.95
68,10256730,Nova Drinking Water 24*550ml,50.00,981.50,981.50  SAR,19.95
71,10263355,Ariel Automatic Laundry Powder Detergent Original Scent 5kg,17.00,974.15,974.15  SAR,77.95
96,10263425,Automatic Original Scent Concentrated Detergent Powder 5 kg,117.00,"6,051.65",,69.95
60,10263445,Automatic Downy Freshness Essence Concentrated Detergent Powder 5 kg,171.00,"7,824.65",,69.95
28,10265405,Tide Automatic Original Scent Concentrated Detergent Powder 7kg,22.00,"1,460.90","1,460.90  SAR",93.95
15,10265425,Tide Automatic Detergent Essence of Downy Freshness Scent 7Kg,28.00,"1,783.65","1,846.60  SAR",93.95
14,10265445,Ariel Automatic Laundry Powder Detergent Original Scent 7kg,27.00,"1,860.70","1,953.65  SAR",92.95
63,10267285,Mini Hot Chili Pepper & Lime Tortilla Chips 35 g,631,"1,954.80",,5
6,10277125,Dari Tender Chicken Breast 2kg,79.00,"2,820.15","2,890.05  SAR",59.95
71,10298715,Very Berry Frozen Mixed Berries 350 g,597,"4,139.20",,26.95
16,10301455,Chicken Breast Fillets 900 g,518.00,"17,705.15",,44
59,10307390,Almarai Apple Juice No Added Sugar 18*140ml,70.00,"1,046.50","1,046.50  SAR",18
3,10307531,Kleenex Essentials Facial Tissues 8+2pack,161.00,"3,759.20","3,855.00  SAR",34
52,10308125,Pure Sunflower Oil 2*1.5 L,297.00,"8,556.25",,49.95
49,10308145,Sunflower Oil 2*1.5 L,290.00,"9,183.50",,46.95
49,10317765,Kleenex Classic Facial Tissues 8+2*76pc,51.00,"1,162.45","1,162.45  SAR",29.95
