Product Name,Product Details,Price,Actual Price,Discount Percentage
Viewsonic VA2406-H,,699.00SAR,,
Xiaomi Mi Router 4a Wifi,,129.00SAR,,
Canon inkjet cartridge cl-441 color,,95.00SAR,,
Promate slim wireless keyboard & mouse,,89.00SAR,,
"Apple MacBook Pro 13-Inch, M2 Chip With 8-Core CPU And 10-Core GPU, 256GB SSD, Integrated Graphics, English/Arabic, Space Grey - Middle East Version",,"5,499.00SAR","SAR5,999.00",8% OFF
Canon Ink Cartridge PG-460XL 3710C001AA - 460 XL (Black),,149.00SAR,,
Canon Cartridge PG-460 3711C001AA Black,,99.00SAR,,
Canon pixma g3420 mfp printer,,869.00SAR,,
Huawei wifi ax3 d.core router,,299.00SAR,,
"ViewSonic VA2223-H 22-inch Full HD Ergonomic Monitor With VGA, HDMI, Eye Care For Work And Study At Home",,649.00SAR,,
Western Digital 2TB My Passport USB 3.2 Portable External Hard Drive Black,,380.00SAR,,
Genius keyboard smart km8100 black,,110.00SAR,,
view sonic keyboard wired ku254,,59.00SAR,,
"Sandisk Micro SD Ultra, 512GB, 100MBS",,289.00SAR,,
Vikent USB 2.0 Printer Cable 1.5m,,25.00SAR,,
ViewSonic C700 Wired Web Camera,,159.00SAR,,
"Apple MacBook Air 13.6-Inch Display, Apple M2 Chip With 8-Core CPU And 10-Core GPU, 512GB SSD, Intel UHD Graphics, English/Arabic, Midnight",,"6,499.00SAR","SAR7,099.00",8% OFF
Generic Folding Wooden Bamboo Serving Laptop Tray Lightweight Legs Table Breakfast Desk,,80.00SAR,,
"Logitech Mouse M90, Black",,35.00SAR,,
"Apple MacBook Air 13.6-Inch Display, Apple M2 Chip With 8-Core CPU And 10-Core GPU, 512GB SSD, Intel UHD Graphics, English/Arabic, Silver",,"6,699.00SAR","SAR7,099.00",5% OFF
Sandisk Cruzer Blade Flash Drive 64 Gb Multicolour,,55.00SAR,,
Sandisk Usb Flash Drive Flair Sdcz73-128gb,,93.00SAR,,
"Amazonbasics High-Speed Male To Female HDMI Extension Cable, 6 Feet",,69.00SAR,,
"Viewsonic 24-Inch 1080P IPS Home And Office Monitor, Black",,899.00SAR,,
Canon Cartridge CL-461 3729C001AA Colour,,119.00SAR,,
