Product Name,Product Details,Price,Actual Price,Discount Percentage
Perier Sparkling Lemon Can 250mlx10s,,47.50SAR,,
Oska water 600ml,,0.90SAR,,
Evian Natural Mineral Water Pack 330ml x24,,159.95SAR,,
Carrefour - Ogeu Mineral Water 330ml x12,,16.50SAR,,
Voss Water Artesian Still 800 ml,,13.95SAR,,
Evian Natural Mineral Water 330ml Pack of 20,,159.95SAR,,
Ival Water 1.5l,,1.95SAR,,
Volvic Natural Mineral Water 1.5L Case of 12,,216.45SAR,,
Souroti Spark Mineralwater 250ml× 6,,25.95SAR,,
Volvic Sports Natural Mineral Water 750ml,,9.50SAR,,
Ferrarelle Sparkling Natural Mineral Water 330mlx24's,,185.00SAR,,
Volvic Natural Mineral Water 750ml Pack of 12,,113.45SAR,,
Evian Sparkling Water 750ml ×12,,142.45SAR,,
Evian Natural Mineral Water 750ml x Pack of 12,,143.45SAR,,
Berain Water Glass 750ml X12,,58.95SAR,,
