Product Name,Product Details,Price,Actual Price,Discount Percentage
Lipton Herbal Infusion Tea Hibiscus 20 Teabags,,20.95SAR,,
Lipton Herbal Infusion Tea  Mint  20 Tea Bags,,20.95SAR,,
Alattar Cumin Lemon Tea Bag 20 Bags,,7.95SAR,SAR13.95,43% OFF
Dilmah Tea Earl Grey 25 Tea Bags,,14.75SAR,,
Nai Ice Tea Ginger 250ml,,5.75SAR,,
Ahmad Tea -6 x20 AluFoil-EnvelopedTeabag  Cinnamon Haze,,9.25SAR,,
Twinings Chamomile Honey & Vanilla Herbal Tea 1.5g ×20 Bags,,33.45SAR,,
Dilmah Tea English Breakfast 25 Tea Bags,,14.75SAR,,
Wadi Alnahil Marjoram Plant Tea 1.5g ×30 Pieces,,16.95SAR,,
Lipton Green Tea Pure Non-Bitter 100 Teabags,,26.95SAR,,
Rabea Pure Mint 1.8g ×20,,10.45SAR,,
Wadi Alnahil Ginger Tea 2g ×30 Pieces,,15.45SAR,,
Lipton Ice Tea Red Fruits 310ml,,3.00SAR,,
Baja Green Tea 100 Pieces,,13.75SAR,SAR15.50,11% OFF
Lipton Herbal Infusion Tea Anise 20 Tea Bags,,20.95SAR,,
Emoji Karak Tea Cardamom 20g,,3.45SAR,,
Nai Iced Tea Hibiscus 473ml,,10.95SAR,,
Baja Green Tea 25 Pieces,,5.75SAR,,
Habkat Tea Pet Bottle 300g,,19.50SAR,,
Nai Ice Tealemon 473ml,,10.95SAR,,
Dilmah Ceylon Gold Tea 25 Bags ×2g,,7.75SAR,,
Lipton Ice Tea Peach 310ml,,3.00SAR,,
Twinings English Breakfast Tea 100 Tea Bags,,77.95SAR,,
Twinings Green Tea And Ginger 25 Bags ×1.6g,,28.95SAR,,
Alattar Ginger Cinnamon Tea Bag 20 Bags,,7.95SAR,SAR12.45,36% OFF
Twinings Pure Green Tea 100 Pieces,,72.95SAR,,
Rabea Premium Tea Bag 2g ×25,,5.50SAR,,
Twinings Earl Grey Teabags 25 Bags 50g,,27.95SAR,,
Nai Iced Tealemon 250ml,,5.75SAR,,
Twinings Of London English Breakfast Tea Medium Flavour 50 Teabags,,42.95SAR,,
Al Attar Ginger Tea Bag 20 x1.8g,,7.95SAR,SAR12.45,36% OFF
Twinings English Breakfast Tea 25 Bags 50g,,23.95SAR,,
Rabea Premium Full Leaf Tea 100g,,6.75SAR,,
Carrefour Premium Blend Black Tea Bag 800g,,25.95SAR,SAR27.95,7% OFF
Rabea Ginger 1.2g ×20,,10.45SAR,,
Nai Ice Tea Ginger 473ml,,10.95SAR,,
Twinings Green Tea Lemon & Honey 25 Bags ×1.6g,,28.95SAR,,
Twinings English Breakfast Tea 200g,,44.95SAR,,
Al Attar White Tea 20 Bags,,7.95SAR,SAR13.50,41% OFF
Twinings Green Tea Jasmine 25 Bags,,28.95SAR,,
Baja loose red tea 100 g,,5.95SAR,,
Twinings Gunpowder Loose Green Tea 200g,,50.45SAR,,
Baja loose red tea 200 g,,7.85SAR,SAR8.95,12% OFF
"Dilmah Pure Ceylon Green Tea With Lemongrass 20 Sachets, 40g",,12.25SAR,,
Baja extra strong loose tea 400 g,,13.95SAR,,
Twinings Gunpowder Green Tea & Mint 200g,,53.95SAR,,
Dilmah Moroccan Mint Green Tea 20 Bags ×2g,,12.25SAR,,
Lipton Ice Tea Lemon Zero 310ml,,3.00SAR,,
Baja Extra Strong Tea 200 Tea Bag,,21.35SAR,SAR24.95,14% OFF
Twinings Tea Goldline Loose Earl Grey Light Flavor 200g,,47.95SAR,,
Lipton Ice Tea Lemon 310ml,,3.00SAR,,
Dilmah Leaf Tea 400g,,47.50SAR,,
Al-Attar Green Tea with Mint 20 Bags,,7.95SAR,SAR11.95,33% OFF
Dilmah Leaf Tea 200g,,24.50SAR,,
Alattar Ginger Honey Tea Bag 20 Bags,,7.95SAR,SAR12.45,36% OFF
Baja Red Tea 200 Tea Bag,,21.35SAR,SAR24.95,14% OFF
Twinings Green Tea & Lemon 25s,,28.95SAR,,
Twinings English Afternoon Tea 25 Pieces ×2g,,25.95SAR,,
Rabea Full Leaf Premium Tea Tin 300g,,26.45SAR,,
Wadi Alnahil White Tea 2g ×30 Pieces,,19.75SAR,,
Dilmah Pure Ceylon Cinnamon Flavored Green Tea 40g ×20 Bags,,12.25SAR,,
LIPTON ICE TEA LEMON LIME 310M X6,,15.00SAR,SAR17.50,14% OFF
Dilmah Jasmine Green Tea Bag 20 ×2g,,12.25SAR,,
Wadi Alnahil Green Tea With Chamomile 2g × 30 Pieces,,20.25SAR,,
Tetley Gold Tea 400g,,26.25SAR,,
Alitea Classic 3 In1 G Inger Tea 20g,,1.65SAR,,
Wadi Alnahil Green Tea With Mint 30 Pieces,,20.25SAR,,
Twinings Earl Grey Tea 1.5gx50pcs,,49.45SAR,,
Dilmah Green Tea With Cardamom 2g ×20 Bags,,12.25SAR,,
Twinings Green Tea And Mint 50 Bags ×1.5g,,52.45SAR,,
Tetley Strong Tea 400g,,26.25SAR,,
Rabea extra strong loose tea 230g,,8.10SAR,,
Baja red tea loose 400 g,,16.95SAR,,
Tetley Drawstring Mint Green Tea 37.5g,,8.50SAR,,
Carrefour Vanilla Tea Bags 25 Pieces,,8.50SAR,,
"Alattar Ginger, 6 Items Tea Bag 24 Bags",,13.95SAR,,
Eastern Eastea Black Tea 200g,,9.50SAR,,
Carrefour Lime Honey Herbal Tea 25 Bags,,9.95SAR,,
"Al-Attar Green Tea, 20 Bags",,7.95SAR,SAR11.95,33% OFF
"Twinings - English Breakfast Extra Strong Tea, 500g",,94.95SAR,,
"Khadeer Tea - First Grade Green Tea, 1.5g x100",,18.50SAR,,
"Twinings - Gunpowder Green Tea And Mint, 500g",,112.50SAR,,
Rabea Green Tea Moroccan 1.8g ×25,,5.75SAR,,
Twinings Pure Green Tea 100g ×50 Bags,,50.45SAR,,
Carrefour Infusions After Meal Tea 25 Bags,,9.00SAR,,
Alattar 6 Items Green Tea Bag 24 Bags,,13.95SAR,,
Abu jabal authentic tea 300g,,39.95SAR,,
Rabea chamomile herbal 1.2g x20,,10.45SAR,,
"Khadeer Tea - Original Ceylon Black Tea, Long Leaf -Hand Picked- 200g",,20.25SAR,,
Alitea Signature Classic 3-In-1 Ginger Tea 20g Pack of 12,,23.95SAR,,
Tetley Strong Tea 200g,,14.50SAR,,
"Twinings - English Breakfast Tea, 500g",,88.95SAR,,
Tanay Organic Green Tea Bags 50bags,,13.95SAR,,
Carrefour Premium Blend Black Tea Bags 200g,,8.95SAR,,
"Twinings - Earl Grey Tea, 500g",,94.95SAR,,
Al Taie Black Tea 100 + 12 Bags Free,,17.95SAR,,
Tanay Organic Black Tea 100 Bags,,19.95SAR,,
"Spring - Green Tea And Oriented Ginger, 25 Sachets",,19.75SAR,,
"Spring - Pure Green Tea, 25 Sachets",,19.75SAR,,
Carrefour Black Loose Tea 1.6kg,,44.95SAR,,
Carrefour Pineapple Grapefruit Green Tea 25 Bags ×37.5g,,9.50SAR,,
