Product Name,Product Details,Price,Actual Price,Discount Percentage
Nescafe 3 In 1 20g X 30 + 10 Free,,47.95SAR,SAR59.95,20% OFF
Kif Almosafer Instant Arabic Coffee Cardamom 300g,,60.15SAR,,
Starbucks Blonde Veranda Blend 200g,,50.50SAR,,
Nescafe Latte Instant Coffee Mix 19g Pack of 5,,12.75SAR,,
Nescafe Gold Espresso Soluble Coffee 100g,,38.95SAR,,
Nescafe Gold Cappuccino Sweetened Coffee Mix 15.5g Pack of 10,,48.95SAR,,
Alicafe French Roast Cappuccino 13g,,2.95SAR,,
Baja Turkish Coffee Plain 400g,,30.95SAR,,
Baja Arabic Coffee Cloves 5g,,1.25SAR,,
Nescafe Choco Hazelnut Ice 25g,,4.25SAR,,
Starbucks Cappuccino 220ml,,9.75SAR,,
Nestle Nescafe Arabiana Saffron Coffee 3g,,2.75SAR,,
Nescafe Cappuccino Foamy Coffee Mix Choco Sprinkles 19.3g Pack of 20,,46.95SAR,,
Cofique Iced Coffee Caramel Flavor 24g ×10,,33.95SAR,,
Nescafe Dolce Gusto Espresso Coffee Capsules 16 Capsules - 96g,,36.25SAR,,
Carrefour Classic Instant Coffee 200g,,19.95SAR,,
Baja Turkish Coffee With Cardamom 400g,,30.95SAR,,
Qassim Mixed Coffee 500g,,27.50SAR,,
Ali Cafe Frnch Skiny Late 14.5g,,2.95SAR,,
Cofique Iced Coffee Original 24g ×10,,33.95SAR,,
Carrefour Turkish Cardamon Coffee 250g,,14.95SAR,,
Starbucks Chocolate Mocha Flavour 220ml,,9.75SAR,,
Davidoff Elegance Gentle Roast Coffee Capsule 55g,,22.45SAR,SAR25.95,13% OFF
Nescafe Ice Classic 25g,,4.25SAR,,
Cofique Prive Ethiopia Coffee Capsules 10 Pieces,,19.95SAR,SAR21.95,9% OFF
Nescafe Dolce Gusto  Grande Intenso Coffee Capsules 16 Capsules - 160g,,36.25SAR,,
Baja Instant Arabic Coffee Moderate 30g,,5.25SAR,,
"Starbucks Pike Place Medium Roast Coffee 10 Capsules, 53g",,31.95SAR,,
Cofique Iced Coffee Pistachio 24g,,3.85SAR,,
Zidnee Instant Coffee Classic 200g,,23.25SAR,,
Starbucks Coffee Latte 220ml,,9.75SAR,,
Maxwell House Rich Blend Coffee 190g,,39.95SAR,,
Nescafe 3-In-1 Strong Intense And Rich Instant Coffee Mix 20g Pack of 30,,58.25SAR,,
"Starbucks Espresso Dark Roast Coffee Pods Box of 12, 66g",,36.25SAR,,
Nescafe Dolce Gusto Flat White 16 Capsules,,51.50SAR,,
Carrefour Gold Instant Coffee 200g,,27.95SAR,,
Cofique Prive Costa Rica Coffee 12g,,4.95SAR,,
Cofique Prive Brazil Coffee Capsules 10 Pieces,,19.95SAR,SAR21.95,9% OFF
"Kif Almosafer Instant Arabic Coffee Cloves, 30g",,6.50SAR,,
"Starbucks Decaf Espresso Dark Roast Coffee 10 Capsules, 57g",,31.95SAR,,
Mehbaj Turkish Coffee With Cardamom 200g,,17.50SAR,,
Nescafe - 2in1 Sugar Free 11.7g X30,,40.75SAR,,
Cofique Latte Blueberry 24gX 10,,27.95SAR,SAR29.95,6% OFF
Nescafe Dolce Gusto Cappuccino Coffee Capsules 16 Capsules - 200g,,51.50SAR,,
Nescafe Gold Organic Instant Coffee 100g,,50.50SAR,,
Cofique Mocha Latte 24g X 10,,27.95SAR,SAR29.95,6% OFF
