Product Name,Product Details,Price,Actual Price,Discount Percentage
"Admiral 9Kg Top Load Washing Machine With Fuzzy Logic, ADTW10XUSCQ, 2 Years Warranty (Installation Not Included)",,"1,199.00SAR","SAR2,999.00",60% OFF
TCL TWT100-2110S Twin Tub Washing Machine White 10kg,,849.00SAR,,
"Basic Baby Washing Machine 1 KG, BW-555NK, Beige (Installation Not Included)",,299.00SAR,SAR399.00,25% OFF
"Kion Gas Cooker, 5 Burn, 90x60 Dc/511/S6090",,"1,699.00SAR",,
"Hisense Top Loading Washing Machine, 7 Kg, WT3J723UT, With 2 Years Warranty (Installation Not Included)",,999.00SAR,"SAR1,999.00",50% OFF
"Samsung 14Kg Top Loading Washing Machine, Digital Inverter Technology, Wobble Technology, WA14B6251WW/YL, 2 Years Warranty (Installation Not Included)",,"2,799.00SAR","SAR5,399.00",48% OFF
"Hisense 12 Kg Twin Top Washing Machine, WSCE121, 2 Years Warranty (Installation Not Included)",,699.00SAR,"SAR1,899.00",63% OFF
"Toshiba 10Kg Top Load Washing Machine With Twin Tub, ‎‎VH-K110WBB (Installation Not Included)",,"1,125.00SAR","SAR1,299.00",13% OFF
"GVC Pro Washing Machine Twin Tub, 6Kg, GVCWM-80 (Installation Not Included)",,565.00SAR,SAR650.00,13% OFF
"Hisense 297 Liter Chest Freezer, CHF297DD, With 2 Years Warranty (Installation Not Included)",,"1,349.00SAR","SAR2,499.00",46% OFF
"Samsung 8Kg Washer With 6Kg Dryer, Front Load, AI Control, WiFi, DIT, Auto Dispense, Eco Bubble, WD80T634DBE/YL, White (Installation Not Included)",,"1,999.00SAR","SAR5,299.00",62% OFF
"GVC Pro Single Door Refrigerator, 76L, GVRF-120, White (Installation Not Included)",,574.00SAR,SAR688.00,16% OFF
"Nikai Chest Freezer, NCF250N, 199L",,799.00SAR,"SAR1,199.00",33% OFF
"Admiral Free Standing Dishwasher With 13 Place Settings, ADDW136USCQ, 2 Years Warranty (Installation Not Included)",,"1,299.00SAR","SAR2,999.00",56% OFF
"Admiral Free Standing Dishwasher With 14 Place Settings, ADDW147USCQ, 2 Years Warranty (Installation Not Included)",,"1,499.00SAR","SAR3,199.00",53% OFF
"Arrow Double Door Refrigerator, 4.87 Cu.Ft, 138 Ltr, RO2-220L, Defrost, White (Installation Not Included)",,"1,350.00SAR","SAR1,499.00",9% OFF
