Product Name,Product Details,Price,Actual Price,Discount Percentage
"Kenwood food processor 2 in 1, 2L, 750W, OWFDP03.C0WH, White",,299.00SAR,SAR420.00,28% OFF
"Geepas GAF37516 Air Fryer 1.8L - Overheat Protection, LED On-Off Lights, 30 Minutes Timer, Rapid Air Circulation, Non Stick Detachable Basket, Temperature & Timer Control",,169.00SAR,SAR202.80,16% OFF
"Admiral Solo Microwave, 20 Liters Capacity, White",,249.00SAR,SAR499.00,50% OFF
"Home Master Kitchen Appliance, Electric Blade Grinders, Hm-260",,92.00SAR,SAR98.00,6% OFF
"MyChoice Stand Fan 16"", With Remote Control",,125.00SAR,SAR155.00,19% OFF
Black & Decker FX400BMG-B5 Food Processor With Blender Mincer And Grinder White/Black 400W,,259.00SAR,SAR349.00,25% OFF
"ATC rice cooker 1.8 L, 700 W - white",,80.00SAR,SAR119.00,32% OFF
Geepas heavy iron 1200 W - white,,64.00SAR,SAR76.80,16% OFF
"Dots Electric Blender, 400 Watts, BLD-2028",,83.00SAR,SAR139.00,40% OFF
"Ariete 1.5-Litres Multi-Function Kitchen Machine, Model No 1596/1",,399.00SAR,SAR799.00,50% OFF
Braun multiquick 7 hand blender MQ7045X,,479.00SAR,SAR689.00,30% OFF
Braun multiquick hb 1000w mq5237bk,,269.00SAR,SAR429.00,37% OFF
"Philips kettle, 1.5 L, 2400W, HD4646, White",,139.00SAR,,
Braun Hand Blender 350ml BRMQ3025WH,,229.00SAR,SAR299.00,23% OFF
Kenwood electric oven owmom56.000ss,,719.00SAR,,
"Keon Steam Iron, 1600L Watt",,65.00SAR,SAR109.00,40% OFF
Black & Decker JC450-B5 Concealed Coil Kettle Silver 1.7L 2400 W,,109.00SAR,SAR179.00,39% OFF
"Olsenmark Omdi1696 Dry Iron, White & Pink",,43.00SAR,SAR51.60,16% OFF
ATC Electric Rice Cooker - 0.6L Capacity - H-Rc0600N,,61.00SAR,SAR99.00,38% OFF
"Geepas 42L Electric Kitchen Oven - Powerful 2000W With Crumb Tray, 60 Minutes Timer & Rotisserie & Convection Function, 6 Selectors For Baking & Grilling, 4 Accessories Included",,349.00SAR,SAR379.00,7% OFF
"Krypton Knk5272 1.8L S/S Water Kettle - Detachable Power Base, 360 Cordless Electric Jug, Comfortable Handle, Ideal For Boiling Water, Eggs & More",,55.00SAR,SAR66.00,16% OFF
Dlc Electric Kettle 0.5L Dlc,,59.00SAR,SAR199.00,70% OFF
"Philips Easy Speed Steam Iron 2000 W Gc1740/26, Light Blue",,115.00SAR,,
Moulinex LM207128 Super Blender White 700W 2L,,236.00SAR,SAR299.00,21% OFF
Generic Toas-Tite Aluminum Sandwich Grill,,35.00SAR,,
Moulinex Moulinette Essential Electric Chopper 300W 500ml White,,153.00SAR,SAR168.00,8% OFF
"Olsenmark 3 In 1 Juicer Blender Chopper Set, 327W, White/Clear (OMSB2054)",,96.00SAR,SAR115.20,16% OFF
Kenwood kettle 1.7 L owzjp00.000wh,,139.00SAR,,
MyChoice desk fan 16 inch (40.64 cm) 50 wat FF-69TB,,99.00SAR,SAR125.00,20% OFF
Kenwood Air Fry 1800W OWHFP30.000BK,,579.00SAR,,
Tefal DV8610M1 2 In 1 Steam And Press Garment Steamer 70ml,,199.00SAR,,
"Koolen Stainless Electric Kettle 2.2L, 2200W, 800102018 - Brown",,76.00SAR,SAR109.00,30% OFF
"Geepas 12’’ Box Fan, 43W, GF21113, Blue",,91.00SAR,SAR109.00,16% OFF
DLC Electric Handheld Garment Steamer 1500W DLC-540 White/Purple,,79.00SAR,SAR120.00,34% OFF
Daewoo meat grinder 1200w dmg-348,,299.00SAR,,
Nikai NK420A Electric Kettle 2200W Silver 1.7L,,39.00SAR,SAR79.00,50% OFF
"Braun steam iron 1900W, SI1009OR",,99.00SAR,SAR149.00,33% OFF
Moulinex PC302B27 Vita Press Citrus Juicer White 25W 1L,,135.00SAR,,
Black & Decker TRO55RDG-B5 Double Glass Toaster Oven Black 55L,,599.00SAR,,
Black & Decker RC1860B Non Stick Rice Cooker With Steamer White 1.8L,,139.00SAR,SAR199.00,30% OFF
Nikai NFP893 7 In 1 Food Processor Set,,169.00SAR,SAR199.00,15% OFF
"Braun Steam Iron 2000W, BRSI1050BL",,109.00SAR,SAR159.00,31% OFF
DLC Electric Coffee Maker 600ml 650W Ba027 -Black,,99.00SAR,SAR149.00,33% OFF
"Kion Egg Boiler, 400W - KHD401-01",,65.00SAR,SAR79.00,17% OFF
Hactc Air Cooler 259 - White,,296.00SAR,SAR449.00,34% OFF
Hactc Glass Kettle 1.8L1500 W 1644 - Clear,,67.00SAR,SAR139.00,51% OFF
"Alsaif-Elec Onion Chopper, White (90562/1)",,89.00SAR,SAR100.00,11% OFF
"Geepas Citrus Juicer, 1 Liter (GCJ9900)",,66.00SAR,SAR80.00,17% OFF
DLC Turkish Coffee Maker Silver/Black 300Ml,,55.00SAR,SAR65.00,15% OFF
"GVC Pro Glass Kettle 1.8L, 1850W, GVCKT-2180",,77.00SAR,,
"Nutricook Multi Cooker 9 in 1, 6L, NCSPEK6, Silver/Black",,449.00SAR,,
MyChoice desk fan 18 inch (45.72 cm) 100 wat FF-321,,165.00SAR,SAR195.00,15% OFF
"Krypton Deep Fryer, 1600W Power, Kndf6347 - 130-190 Degree Celsius Adjustable Time & Temperature, 2 L Detachable Inner Pot, Dishwasher Safe Lid",,308.00SAR,SAR369.60,16% OFF
"Russell Hobbs Steam Rice Cooker 1975 ,1.8L",,179.00SAR,SAR199.00,10% OFF
Panasonic Microwave 25L 800w NN-ST34NBSTK,,469.00SAR,SAR675.00,30% OFF
Magic Bullet MB4-0612 High Speed Blender Set 400W 6 Pieces Silver,,209.00SAR,,
