Product Name,Product Details,Price,Actual Price,Discount Percentage
JBL 310 Partybox Portable Speaker Black,,"1,947.00SAR",,
"Olsenmark Portable Wireless Speaker With Usb, Tf, Aux, Bluetooth & Mp3 - Hands Free Calling - 10 Meters Range - Support Mp3, Wma Format Music Files - External Mp3/Mp4/ Computer Audio - Fm",,72.00SAR,SAR86.40,16% OFF
"JBL PartyBox 1000 Portable Bluetooth Speaker, Powerful Signature Sound, Light Shows, Air Gesture, DJ Pad, Mic + Guitar Inputs, USB Playback, Wheels, USB Charge Out - Black, JBLPARTYBOX1000EU",,"4,399.00SAR","SAR5,475.00",19% OFF
JBL Xtreme 3 Portable Bluetooth Speaker Black,,"1,400.00SAR",,
"Olsenmark Portable Wireless Speaker - Powerful Bass Bluetooth Speaker 5.0 With Light, Bt/Call/Usb/Tf/Fm/Aux, Top Mounted Controls, Ideal For Parties, Movies, Playing Games & More, 2 Years Warranty",,142.00SAR,SAR170.40,16% OFF
Sony HT-S700F 5.1Channel Home Theater Black,,"1,799.00SAR",,
JBL Bar 9.1 True Wireless Surround Speaker With Dolby Atmos - Black,,"4,399.00SAR","SAR4,999.00",12% OFF
"JBL Go 3 Portable Bluetooth Speaker, White",,249.00SAR,,
"Hisense 2.1CH Sound Bar With Wireless Subwoofer, 200W, HS218, Powered By Dolby Audio, Bluetooth, HDMI ARC/Optical/AUX/USB, 3EQ Modes",,749.00SAR,"SAR1,799.00",58% OFF
"JBL Go 3 Portable Bluetooth Speaker, Green",,249.00SAR,,
"Generic SQ168 Moonlight Player Speaker, White",,120.00SAR,SAR145.00,17% OFF
Goui Sambi Speaker+Qi 10W+ Power Bank 4000mAh,,249.00SAR,,
"JBL Go 3 Waterproof Portable Bluetooth Speaker, Grey",,189.00SAR,,
DLC Bluetooth Radio Speaker - Brown/Black/Silver,,74.00SAR,SAR139.00,46% OFF
JBL Boombox 2 - Waterproof Portable Bluetooth Speaker - Black JBLBOOMBOX2BLKEU,,"1,799.00SAR","SAR1,899.00",5% OFF
