Product Name,Product Details,Price,Actual Price,Discount Percentage
Barbican Strawberry Flavoured Non-Alcoholic Malt Beverage 330ml Pack of 6,,30.00SAR,,
Coca Cola Zero Glass Bottle 250ml,,2.50SAR,,
Green Cola Cherry Flavoured Carbonated Soft Drink 330ml,,3.75SAR,SAR4.50,16% OFF
Fanta strawberry bottle 250 ml,,2.50SAR,,
Britvic Spicy Ginger Ale 300ml,,4.00SAR,,
Green Cola Green Mocktails Mojito 330ml,,4.75SAR,SAR5.50,13% OFF
Estrella Non-Alcohol Beer Can 330ml,,7.25SAR,,
Original Mango 125ml ×18+3 free,,19.95SAR,,
Britvic Soda Water 300ml,,3.25SAR,,
Barbican Classic Malt Beverage 250ml,,2.50SAR,,
Fever-Tree Premium Ginger Ale 200ml x 4,,39.95SAR,,
Rockstar Energy Drink  Original  250ml,,5.00SAR,,
Moussy Non-Alcoholic Peach Malt Beverage 330ml Pack of 6,,32.95SAR,,
Moussy Malt Beverage Pomegranate Flavour 330ml,,5.50SAR,,
Shani nrb 250ml,,2.55SAR,,
Holsten Black Grape Flavor Malt Beverage 330ml,,5.95SAR,,
Mirinda Soft Drink Strawberry Can 330ml×6,,16.45SAR,,
Pepsi Max Bottle 250ml,,2.50SAR,,
Mirinda citrus 250 ml,,2.55SAR,,
Moussy Malt Beverage Lemon Mint Flavour 330ml,,5.50SAR,,
Moussy Peach Flavor Non Alcoholic Malt Beverage 330ml,,5.50SAR,,
"Monster Ultra, Energy Drink 250ml",,8.25SAR,,
7up regular can 355ml x18,,49.40SAR,,
Evervess Club Soda 300ml,,2.25SAR,,
Green Cola Orange Flavoured Carbonated Soft Drink 330ml,,3.75SAR,SAR4.50,16% OFF
Evervess Club Soda 300ml× 6,,12.75SAR,,
Holsten Cranberry Flavor Malt Beverage 330ml,,5.95SAR,,
Coca-Cola original taste 2.2 L x 6 plastic bottles,,44.95SAR,,
Moussy Ice Berry Flavoured Non-Alcoholic Malt Beverage 330ml Pack of 6,,32.95SAR,,
Pepsi Max Can 150ml,,2.00SAR,,
Budweiser Beer Classic Zero Alcohol 330ml,,7.00SAR,,
Green Lemon Lime Can 330ml,,4.75SAR,SAR5.50,13% OFF
Budweiser Zero Green Apple Flavoured Non-Alcoholic Beverage 330ml,,7.00SAR,,
Holsten Malt Beverage Classic 330ml Pack of 6,,36.00SAR,,
Fever Tree Premium Ginger Ale 200ml,,10.50SAR,,
Fanta orange soft drink 250 ml,,2.50SAR,,
Moussy Non-Alcohol Malt Beverage Classic 300ml,,5.50SAR,,
Estrella Non Alcoholic Malt Beer 250ml x6,,41.95SAR,,
Klasse Malt Pomegranate 250ml× 6,,10.95SAR,SAR14.75,25% OFF
Britvic Indian Tonic Water 300ml,,4.00SAR,,
Mirinda Orange Pet 2.25l,,9.00SAR,,
Pepsi Soft Drink 250ml x Pack of 24,,61.95SAR,,
Holsten Malt Beverage Black Grape Flavor 330ml ×6 Glass Bottles,,36.00SAR,,
Sprite Soft Drink Bottle 250ml x24,,55.95SAR,SAR60.95,8% OFF
Moussy Raspberry Flavoured Non-Alcoholic Malt Beverage 330ml,,5.50SAR,,
Klasse Malt Strawberry 250ml X6,,10.95SAR,SAR14.75,25% OFF
Klasse Malt Classic 250ml X6,,10.95SAR,SAR14.75,25% OFF
Barbican Malt Beverage Apple Flavor 330ml,,4.95SAR,,
Moussy Pomegranate Can 250ml,,3.50SAR,,
Britvic Bitter Lemon 300ml,,4.00SAR,,
"Klasse Classic Malt Drink, Glass Bottle 330ml× 6",,26.95SAR,,
Holsten Strawberry Flavoured Non-Alcoholic Malt Beverage 330ml,,5.95SAR,,
Klasse Malt Apple 250ml,,2.50SAR,,
Holsten Apple Flavoured Non-Alcoholic Malt Beverage 330ml Pack of 6,,36.00SAR,,
Holsten Apple Flavour Non-Alcoholic Malt Drink 330ml,,5.95SAR,,
Coca-Cola Zero 2.2L x6 glass bottles,,44.95SAR,,
Mirinda citrus can 355 ml × 18,,49.40SAR,,
Barbican Raspberry Flavoured Non-Alcoholic Malt Beverage 330ml,,4.95SAR,,
Holsten Malt Beverage Mojito With Lemon And Mint Flavor 330ml ×6 Glass Bottles,,36.00SAR,,
Holsten Classic Non-Alcoholic Malt Beverage 330ml,,5.20SAR,,
Pepsi 2.25L x6 plastic bottles,,55.50SAR,,
Moussy Non-Alcoholic Malt Beverage Strawberry 330ml,,5.50SAR,,
Moussy Strawberry Can 250ml,,3.50SAR,,
Holsten Malt Beverage Classic 330ml,,5.95SAR,,
Barbican Pomegranate Malt Beverage 330ml,,4.95SAR,,
Britvic Soda Water 300ml Pack of 6,,17.95SAR,,
"7UP Glass Bottle, Sugar Free 250ml",,2.60SAR,,
Mountain Dew Non-Returnable Bottle Soft Drink 250ml,,2.55SAR,,
Fanta Orange Soft Drink Bottle 250ml x24,,55.95SAR,SAR60.95,8% OFF
Fanta Strawberry Soft Drink Bottle 250ml ×24,,55.95SAR,SAR60.95,8% OFF
Estrella Non Alcoholic Malt Beer 250ml,,7.25SAR,,
Gatorade Sports Drink Orange Flavour 495ml,,6.00SAR,,
Monster Energy Drink 250ml  ×12,,101.75SAR,,
"Klasse Strawberry Flavored Malt Drink, Glass Bottle 330ml× 6",,26.95SAR,,
Mountain Dew 2.25L,,9.00SAR,,
Barbican Strawberry Flavoured Non-Alcoholic Malt Beverage 330ml,,4.95SAR,,
"Klasse Pomegranate Flavored Malt Drink, Glass Bottle 330ml× 6",,26.95SAR,,
Gatorade Sports Drink Cool Blue Raspberry Flavour 495ml ×12,,69.95SAR,,
Moussy Malt Drink Apple 250ml X 6,,20.95SAR,,
Fanta strawberry flavor plastic bottle 400 ml,,3.00SAR,,
Fanta Citrus Soft Drinks Bottle 1.75L,,6.00SAR,,
Green Cola Sour Cherry Carbonated Soft Drink 330ml Pack of 6,,21.95SAR,SAR25.95,15% OFF
"Klasse Apple Flavored Malt Drink, Glass Bottle 330ml× 6",,26.95SAR,,
Moussy Malt Beverage Can Apple Flavor 250ml,,3.50SAR,,
Monster Ultra Energy Drink 250ml x12,,101.95SAR,,
Green Cola 330ml× 6,,21.95SAR,SAR25.95,15% OFF
Britvic Bitter Lemon 300ml Pack of 6,,23.95SAR,,
Cocacola Pet 1l× 6,,30.95SAR,,
Barbican Non-Alcoholic Malt Beverage 330ml,,4.95SAR,,
Moussy Apple Flavour Non Alcoholic Malt Beverage 330ml,,5.50SAR,,
Green Cola Green Mocktails Mojito 330ml Pack of 6,,25.45SAR,SAR30.95,17% OFF
Green Lemon Lime Pack 330ml x6,,25.50SAR,SAR31.00,17% OFF
Green Cola Orangeade Carbonated Soft Drink 330ml Pack of 6,,21.95SAR,SAR25.95,15% OFF
Fever Tree Soda Mexican Lime 200ml,,10.50SAR,,
Mountain dew can 355ml x18,,49.40SAR,,
Green Cola Lemonade Carbonated Soft Drink 330ml Pack of 6,,21.95SAR,SAR25.95,15% OFF
Klasse Malt Drink Classic 250ml,,2.50SAR,,
Mirinda orange can 355ml x18,,49.40SAR,,
Original - Apple Nectar 125ml,,1.10SAR,,
Fitch&Leedes Ginger Ale Can 200ml,,7.00SAR,SAR7.50,6% OFF
Rockstar Energy Drink 250ml×  30,,145.95SAR,,
Fitch &leedes Bitterlemon 200ml,,7.00SAR,SAR7.50,6% OFF
Fever-Treelime & Yuzu Soda Water 200ml× 4,,39.95SAR,,
"Klasse Pomegranate Flavored Malt Drink, Glass Bottle 330ml",,4.50SAR,,
Moussy Malt Drink Pomegranate Can 250ml× 6,,20.95SAR,,
Sprite Pet 1l× 6,,30.95SAR,,
"Klasse Strawberry Flavored Malt Drink, Glass Bottle 330ml",,4.50SAR,,
W2,,2.00SAR,,
Fever Tree Premium Soda Water 200ml,,7.95SAR,,
Vendome Merlot - (Non-Alcoholic) Premium Organic Drink 750ml,,75.00SAR,,
"Klasse Apple Flavored Malt Drink, Glass Bottle 330ml",,4.50SAR,,
Fitch&Leedes Culb Soda Water 200ml,,7.00SAR,SAR7.50,6% OFF
Night Orient - Sauvignon (Non-Alcoholic) Premium Drink 750ml,,61.00SAR,,
Night Orient Margarita Strawberry (Non-Alcoholic) Premium Drink 700ml,,65.00SAR,,
Night Orient - Rosé (Non-Alcoholic) Premium Drink 750ml,,69.00SAR,,
Mountain Dew 2.25L x 6,,55.50SAR,,
Fever-Tree Soda Water 200ml× 4,,31.95SAR,,
Fanta Strawberry 355ml,,5.95SAR,,
Night Orient Tempranillo (Non-Alcoholic) Premium Drink 750ml,,61.00SAR,,
Vendome Rosé - (Non-Alcoholic) Premium Organic Drink 750ml,,79.00SAR,,
"Klasse Classic Malt Drink, Glass Bottle 330ml",,4.50SAR,,
Night Orient Strawberry Mojito (Non-Alcoholic) Premium Drink 750ml,,65.00SAR,,
Night Orient Pina Colada (Non-Alcoholic) Premium Drink 700ml,,65.00SAR,,
Fanta Orange Pet 2.2l× 6,,44.95SAR,,
Vendome Classic - (Non-Alcoholic) Premium Drink 750ml,,79.00SAR,,
Night Orient Mojito (Non-Alcoholic) Premium Drink 750ml,,65.00SAR,,
Vendome Rosé - (Non-Alcoholic) Premium Organic Drink 750ml,,75.00SAR,,
Vendome - Chardonnay (Non-Alcoholic) Premium Organic Drink 750ml,,68.00SAR,,
Fanta Orange 1l× 6,,29.50SAR,,
Budweiser zero malt can 300 ml × 24,,168.00SAR,,
Fanta Strawberry 1l× 6,,31.15SAR,,
Budweiser Zerogreen Apple Can330ml X24,,168.00SAR,,
Night Orient Caipirinha (Non-Alcoholic) Premium Drink 700ml,,65.00SAR,,
Fanta Strawberry Pet 2.2L× 6,,44.95SAR,,
