Product Name,Product Details,Price,Actual Price,Discount Percentage
Turtle Beach Ear Force Recon 50P Stereo Gaming Headset For PS4 /PS5 /Xone /Xseries /Nswitch /PC,,160.00SAR,,
"Techland Dying Light 2 Stay Human Standard Edition, Action & Shooter, PlayStation 5 (PS5)",,349.00SAR,,
"SKY-TOUCH Multifunctional Desk Pad Leather Computer Mouse Pad Office Desk Mat Extended Gaming Mouse Pad, Non-Slip Waterproof Dual-Side Use Desk Mat Protector 80cm x 40cm (Red/Black)",,48.00SAR,SAR99.00,51% OFF
Philips Mouse Gamer G201 6400DPI RGB 9 Botones SPK9201BS,,199.00SAR,,
Xbox one game NBA 2K22,,179.00SAR,,
Sony Playstation 5 HD Camera,,160.00SAR,SAR330.00,51% OFF
Astro Gaming HDMI Wired Adapter For Playstation 5,,215.00SAR,SAR299.00,28% OFF
Turtle Beach Stealth 600 Gen 2 Wireless Gaming Headset For Xbox One Series X/S,,459.00SAR,,
"Roccat Aimo Remastered RGBA Smart Customization Gaming Mouse, Wired",,369.00SAR,,
Roccat Burst Pro Wired Gaming Mouse,,299.00SAR,,
Sony Dualsense Wireless Controller,,345.00SAR,,
Powera Enhanced Wired Mario Nintendo Switch Controller,,159.00SAR,SAR169.00,5% OFF
Datazone Gaming Headphone With Noise Cancelling Microphone,,65.00SAR,,
Sega Yakuza : Like A Dragon (Intl Version) - Strategy - Xbox One,,199.00SAR,,
Turtle Beach Gen 2 Wireless Gaming Headset For PS4 /PS5,,443.00SAR,,
Xtrike Me Wired Over-Ear Gaming Headphones With Micfor PS4/PS5/XOne/XSeries/NSwitch/PC,,149.00SAR,,
Lego Jurassic World Gcam - Playstation 4 (PS4) By Warner Bros,,99.00SAR,,
Datazone Professional Gaming Headset,,51.00SAR,,
"Datazone Ultra Fast Wired Gaming Mouse With Responsive Keys And Charging Dock With RGB Lighting Multicolor, Ak800M, Black",,60.00SAR,,
Gamertek Protective Controller Case Cover For Playstation 4,,64.00SAR,,
Datazone Thickened Gaming Mouse Pad Non-Slip Rubber Base Ergonomic Smooth Surface Mouse Pad For PC-Dz-P803/Red,,45.00SAR,,
Powera Officially Licensed USB-C Cable For Playstation 5,,99.00SAR,,
"Logitech G Pro X Wireless Lightspeed Gaming Headset, Blue Voice Mic Filter Tech, 50 mm Pro-G Drivers, Dts Headphone:X 2.0 Surround Sound, Memory Foam, 20+ Hour Battery Life",,879.00SAR,,
Alan Wake Remastered - Adventure - Playstation 5 (PS5) By Epic Games,,139.00SAR,SAR159.00,12% OFF
PS4 Back 4 Blood Standard Edition Gcam - Playstation 4 (PS4) By Wb Games,,88.00SAR,SAR169.00,47% OFF
JBL Quantum 100 Over Ear Headphone Black,,129.00SAR,SAR145.00,11% OFF
Datazone Gaming Headphone With Noise Cancelling Microphone,,65.00SAR,,
"Sony Playstation Dualsense Wireless Controller, Cosmic Red",,440.00SAR,SAR800.00,45% OFF
"HP Stereo Wired Speaker, Black",,67.00SAR,,
"HP Dhs -2101 Wired Multimedia Speakers 6972431710404, Black",,87.00SAR,,
Viewsonic KU530 Gaming Keyboard Black,,299.00SAR,,
Datazone Gaming Headphone With Microphone,,67.00SAR,,
Gran Turismo Sport(Intl Version) - Simulation - Playstation 4 By Polyphony Digital,,115.00SAR,,
"HP Dhe -6001 Wired Multimedia Speakers -6972431710626, Black",,129.00SAR,,
JBL Quantum 400 Wired Over-Ear Gaming Headset,,475.00SAR,,
Cable Guys Iron Man Controller Holder,,132.00SAR,,
Lego Dc Supervillain Ns Gcam - Playstation 4 (PS4) By Warner Bros,,99.00SAR,,
"HP Dhe- 6003 Wired Multimedia Speakers 6972431710640, Black",,128.00SAR,,
Datazone Gaming Headphones With Microphone,,59.00SAR,SAR67.00,11% OFF
"Datazone USB Gaming Mouse, Black",,43.00SAR,,
"Logitech G733 Lightspeed Wireless Gaming Headset With Suspension Headband, Lightsync RGB, Blue Voice Mic Technology And Pro-G Audio Drivers",,609.00SAR,,
Philips mouse wired gaming,,205.00SAR,,
Lego Movie 2 - (Intl Version) - Nintendo Switch By Warner Bros,,179.00SAR,,
"SKY-TOUCH Mouse Pad Large Leather Computer Desk Pad Office Desk Mat Extended Gaming Mouse Pad, Non-Slip Waterproof Dual-Side Use Desk Mat Protector 80cm x 40cm (Pink/White)",,48.00SAR,SAR99.00,51% OFF
Florpad - Arctic,,253.45SAR,SAR300.00,15% OFF
Mortal Kombat 11 Ultimate Edition - Fighting - Playstation 4 (PS4) By Warner Bros,,125.00SAR,,
"SKY-TOUCH Mouse Pad Large Leather Computer Desk Pad Office Desk Mat Extended Gaming Mouse Pad, Non-Slip Waterproof Dual-Side Use Desk Mat Protector 80cm x 40cm (Blue/Yellow)",,48.00SAR,SAR99.00,51% OFF
"Razer Deathadder Chroma Gaming Mouse - Black, Rz01",,169.00SAR,,
"Xtrike Me Backlit Mechanical Gaming Keyboard, Black",,149.00SAR,,
PS4 Lego Star Wars The Skywalker Saga Standard Edition - Playstation 4 (PS4) By Warner Bros,,228.00SAR,,
Alan Wake Remastered - Adventure - Playstation 4 (PS4) By Epic Games,,108.00SAR,SAR138.00,21% OFF
Datazone Professional Gaming Headset,,51.00SAR,,
"Xtrike Me Membrane Backlight Gaming Keyboard, Black",,149.00SAR,,
