Product Name,Product Details,Price,Actual Price,Discount Percentage
Alyoum Premium Fresh Chicken Chilled 1kg,,17.95SAR,SAR20.50,12% OFF
Tanmiah Fresh Chicken Mixed Portions 800g,,10.85SAR,SAR11.75,7% OFF
Entaj Fresh Whole Chicken 1000g,,18.45SAR,,
Brazilan Beef Cubes Chilled,500g - Approx 4 pieces per KG,12.95SAR,,
Entaj Mixed Chicken Portion 900g,,12.35SAR,SAR13.75,10% OFF
Golden Chicken Fresh Chicken Mixed Parts 900g,,10.95SAR,SAR16.65,34% OFF
Veal Boneless,500g - Approx 4 pieces per KG,30.93SAR,,
Tanmiah Fresh Chicken Bag 1kg,,18.35SAR,SAR19.75,7% OFF
Tanmiah Fresh Chicken Leg 450g,,9.05SAR,SAR10.15,10% OFF
Tanmiah Fresh Chicken Thighs 450g,,7.45SAR,SAR8.95,16% OFF
Tanmiah Fresh Chicken Liver 450g,,4.95SAR,SAR6.95,28% OFF
Tanmiah Fresh Chicken Bag 1100g,,19.10SAR,SAR20.25,5% OFF
AlYoum Premium Fresh Chicken Whole Legs 900g,,18.25SAR,SAR20.50,10% OFF
Tanmiah Fresh Chicken Drumstick 450g,,10.55SAR,SAR11.15,5% OFF
Tanmiah Fresh Chicken Wing 450G,,5.60SAR,SAR6.95,19% OFF
Alyoum Fresh Chicken Breast Fillet Chilled 900g,,41.80SAR,,
Tanmiah Fresh Minced Chicken 450g,,11.95SAR,SAR13.95,14% OFF
Naimy Fresh Leg Lamb,500g - Approx 4 pieces per KG,28.75SAR,SAR33.38,13% OFF
Fresh Beef Mince Local,500g - Approx 1 piece per KG,26.43SAR,,
Radwa Chicken Premium Fresh Chilled Chicken 1200g,,20.75SAR,SAR22.50,7% OFF
Naimy Lamp Stew Fresh,500g - Approx 4 pieces per KG,32.38SAR,,
Entaj Fresh Whole Chicken 1.1kg,,19.15SAR,SAR20.80,7% OFF
Tanmiah Fresh Chicken Bag 900g,,16.85SAR,SAR17.75,5% OFF
Radwa Chicken Fresh Chicken Breast Fillet 450g,,22.75SAR,,
Golden Chicken Fresh Marinated Shawarma 450g,,18.60SAR,SAR20.25,8% OFF
Golden Chicken Fresh Whole Chicken 1000g,,18.95SAR,,
Veal Bone In Fresh,500g - Approx 4 pieces per KG,23.13SAR,,
Golden Chicken Fresh Whole Chicken 1100g,,19.85SAR,,
Naimy Female Lamb Shoulder Fresh,500g - Approx 4 pieces per KG,28.95SAR,SAR32.88,11% OFF
Lamb Liver Fresh,500g - Approx 1 piece per KG,35.92SAR,,
Alyoum Fresh Chicken Mixed Parts 900g,,16.95SAR,SAR18.95,10% OFF
Fresh Camel Stew,500g - Approx 4 pieces per KG,18.43SAR,,
Golden Chicken Fresh Whole Chicken 1200g,,20.85SAR,,
Golden Chicken Fresh Whole Chicken 900g,,17.75SAR,,
Pakistani Veal Bone In Chilled,500g - Approx 4 pieces per KG,14.95SAR,SAR17.98,16% OFF
Local Fresh Beef Boneless,500g - Approx 4 pieces per KG,26.43SAR,,
Veal Liver Fresh,500g - Approx 1 piece per KG,22.45SAR,SAR27.43,18% OFF
Golden Chicken Fresh Chicken Breast Fillet 900g,,38.45SAR,SAR41.95,8% OFF
Fresh Veal Mince,500g - Approx 250 pieces per KG,31.88SAR,,
Radwa Chicken Fresh Chicken Breast Fillet 900g,,44.95SAR,,
Camel Leg Fresh Boneless,500g - Approx 4 pieces per KG,24.95SAR,SAR28.25,11% OFF
Tanmiah Chicken Shawarma Spicy 450g,,14.10SAR,SAR15.25,7% OFF
Radwah Chicken Fresh Chicken Wing 500g,,6.95SAR,,
Entaj Fresh Chicken Whole Marinated Spicy 600g,,11.95SAR,SAR12.95,7% OFF
Tanmiah Fresh Chicken Bag 800g,,16.10SAR,SAR17.25,6% OFF
Radwa Chicken Fresh Chicken Franks 400g,,7.50SAR,,
Alwatania Poultry Fresh Chicken 700g,,13.95SAR,SAR14.95,6% OFF
Entaj Fresh Whole Chicken 900g,,17.45SAR,SAR18.95,7% OFF
Radwa Chicken Fresh Chicken Legs 1 Kg,,19.50SAR,,
Brazilan Beef Mince Low Fat Chilled,500g - Approx 1 piece per KG,23.13SAR,,
Alwatania Poultry Fresh Chicken 800g,,15.75SAR,SAR16.95,7% OFF
Local Fresh Beef Stew,500g - Approx 4 pieces per KG,18.43SAR,,
Golden Chicken Fresh Marinated Shawarma Italiano 400g,,18.60SAR,SAR20.25,8% OFF
Golden Chicken Fresh Minced Chicken Meat 400g,,15.50SAR,,
Radwa chicken fresh chilled chicken twin pack 2000 g,,29.95SAR,SAR36.95,18% OFF
Mix Pickles Egyption (Per Kg),250g - Approx 14 pieces per KG,1.48SAR,,
Bolieve Pickles Egyptian,250g - Approx 14 pieces per KG,2.49SAR,SAR3.99,37% OFF
Bibi Smoked Turkey Breast Low Fat (Per Kg),250g - Approx 7 pieces per KG,17.46SAR,,
Big Black Olive Spain (Per Kg),250g - Approx 50 pieces per KG,3.99SAR,SAR5.71,30% OFF
Al Folla Smoked Chicken Breast (Per Kg),250g - Approx 7 pieces per KG,10.49SAR,SAR19.99,47% OFF
Olive Kalamata Natural Giant (Per Kg),250g - Approx 50 pieces per KG,7.46SAR,,
Halwani Smoked Turkey Breast,250g - Approx 7 pieces per KG,32.49SAR,SAR34.96,7% OFF
Smocked Turkey Breast (Per Kg),250g - Approx 7 pieces per KG,16.24SAR,SAR23.24,30% OFF
Americana Smoked Turkey Breast,250g - Approx 7 pieces per KG,21.49SAR,SAR36.24,40% OFF
Siniora Smoked Turkey Breast,250g - Approx 7 pieces per KG,23.74SAR,,
Olive Black Sliced (Per Kg),250g - Approx 50 pieces per KG,7.13SAR,,
Makdous (Per Kg),250g - Approx 50 pieces per KG,6.24SAR,SAR8.74,28% OFF
Shami Smoked Chicken Breast (Per Kg),250g - Approx 7 pieces per KG,12.49SAR,SAR16.11,22% OFF
Stuffed Green Olive Spain (Per Kg),250g - Approx 50 pieces per KG,6.21SAR,,
Mortadella Beef Plain Low Fat (Per Kilo),250g - Approx 10 pieces per KG,5.49SAR,SAR9.24,40% OFF
Egyptian Green Olive,250g - Approx 50 pieces per KG,2.74SAR,SAR3.49,21% OFF
Siniora Mortadella Beef Plain,250g - Approx 10 pieces per KG,12.24SAR,,
Olive Grilled (Per Kg),250g - Approx 50 pieces per KG,9.99SAR,SAR12.49,20% OFF
Bibi Smoked Turkey Breast Olives ( Per Kg ),250g - Approx 7 pieces per KG,23.49SAR,,
Halwani Beef Mortadella With Olive,250g - Approx 10 pieces per KG,11.49SAR,SAR14.99,23% OFF
Baby Cucumber - India,250g - Approx 33 pieces per KG,5.63SAR,,
Bibi Mortadella Beef Olives Low Fat (Per Kilo),250g - Approx 10 pieces per KG,5.49SAR,SAR9.24,40% OFF
Al Folla Smoked Roast Beef,250g - Approx 7 pieces per KG,23.49SAR,,
Siniora Beef Mortadella With Olives,250g - Approx 10 pieces per KG,12.24SAR,,
Jordan Green Olive (Per Kg),250g - Approx 50 pieces per KG,5.74SAR,,
Olive Black Spain (Per Kg),250g - Approx 50 pieces per KG,4.99SAR,,
Bibi Smoked Turkey Pepper Low Fat ( Per Kg ),250g - Approx 7 pieces per KG,23.49SAR,,
Al Folla Smoked Turkey Breast (Per KG),250g - Approx 7 pieces per KG,26.74SAR,,
Bibi Pepperoni Beef Low Fat ( Per Kg ),250g - Approx 10 pieces per KG,20.74SAR,,
Halwani Plain Beef Mortadella,250g - Approx 10 pieces per KG,11.49SAR,SAR14.99,23% OFF
Americana Smoked Roast Beef ( Per Kg ),250g - Approx 7 pieces per KG,21.49SAR,SAR35.99,40% OFF
Olive Green With Lemon - Morocco (Per Kg),250g - Approx 50 pieces per KG,6.74SAR,,
