S,SKU,fullName,requestedQuantityNew,totalRevenueNet,totalRevenueGrossSAR,jda122Price,priceDifference,source
76,60150445,Nutella Hazelnut Spread with Cocoa 400g,51,941.8,941.80  SAR,21.5,Not found in the first array,Beverages - Coffee.csv
19,60190225,Fresh Chicken Breast Fillet 450 g,730,14732.75,,22.95,Not found in the first array,Beverages - Coffee.csv
75,60190325,Fresh Chicken Breast Fillet 900 g,170,6976.85,,44.95,Not found in the first array,Beverages - Coffee.csv
16,60190435,Radwa Frozen Tender Chicken Breast 450g,114,1783.5,1783.50  SAR,21.75,Not found in the first array,Beverages - Coffee.csv
37,60262125,L'usine Sliced Milk Bread 600g,127,734.5,,6,Not found in the first array,Beverages - Coffee.csv
78,60297155,Salmon Fillets 450 g,170,6776.35,,139.95,Not found in the first array,Beverages - Coffee.csv
57,60344210,Coca Cola Soft Drink 12*150ml,48,1055.7,1055.70  SAR,25.5,Not found in the first array,Beverages - Coffee.csv
83,60371951,Pepsi Soft Drink 6*250ml,67,898.65,898.65  SAR,14.95,Not found in the first array,Beverages - Coffee.csv
82,60371961,Pepsi Diet Carbonated Soft Drink 6*250ml,67,905.75,905.75  SAR,14.95,Not found in the first array,Beverages - Coffee.csv
29,60375365,Chilled Chicken Breast Fillet 450 g,616,11817,,22.95,Not found in the first array,Beverages - Coffee.csv
26,60378975,Puck Cooking Cream 200ml,159,556.4,,6.5,Not found in the first array,Beverages - Coffee.csv
78,60378985,Full Fat Organic Milk 1 L,572,4804.65,,13.5,Not found in the first array,Beverages - Coffee.csv
26,60379005,Full Fat Organic Milk 200 ml,990,2084.6,,3.5,Not found in the first array,Beverages - Coffee.csv
56,60379025,Organic Chocolate Milk 200 ml,673,1610.4,,4,Not found in the first array,Beverages - Coffee.csv
83,60383771,Original Cheddar Cheese Spread 2*870 g,165,6547.7,,66.5,Not found in the first array,Beverages - Coffee.csv
55,60390625,L'usine Sliced Bran Bread 615g,99,569,,6,Not found in the first array,Beverages - Coffee.csv
42,60415760,Nestle Pure Life Drinking Water 40*330ml,71,1212.45,1212.45  SAR,23.95,Not found in the first array,Beverages - Coffee.csv
67,60421835,Cottonelle Extra Dry Toilet Tissue 16+4 pc,218,7397.35,,44.5,Not found in the first array,Beverages - Coffee.csv
81,60499755,Zamzam Water 5L  ,561,44,,5.5,Not found in the first array,Beverages - Coffee.csv
